Al,Cu,Si,Fe,Mn,zn,Ti,Mg,Residuals,(UTS),Tensile Strength: Yield (Proof),Brinell Hardness,Fatigue Strength
88.25,7,2,0.6,0.3,0.125,0.125,0.05,0.25,190,130,85,93
83.4,10,4,1.25,0,1.25,0,0.125,0,210,170,56,110
88.65,3.5,6,0.5,0.25,0.5,0.125,0.05,0.25,190,110,78,77
87.8,1.5,8,0.5,0.4,0.075,0.125,0.4,0.25,200,120,60,80
85.4,3.5,9,0.5,0.25,0.5,0.125,0.275,0.25,230,130,90,96
91.7,0.125,7,0.3,0.175,0.175,0.125,0.325,0.075,160,100,55,71
87.85,0.3,9.5,1,0.175,0.25,0.075,0.5,0.125,300,170,75,140
84.55,3.5,8.5,1,0.25,1.5,0.175,0.05,0.25,320,160,80,140
81.9,3.75,11.25,0.65,0.25,1.5,0.175,0.1,0.25,330,170,85,140
77.25,0.6,19,0.75,0.4,0.25,0.15,1,0.25,290,270,56,190
93.1,0.3,5.25,0.4,0.25,0.25,0.125,0.05,0.175,150,65,41,55
94.75,0.075,0.5,0.25,0.175,0.075,0.125,4,0.075,150,83,50,55
93.5,0.05,0.15,0.2,0.15,1.8,0.1,4,0.075,200,120,55,97
95.1,0.1,5.25,0.65,0.5,0.05,0,3.25,0.075,280,148,56,130
91.8,0.5,0.075,0.25,0.025,6.5,0.125,0.7,0.075,240,160,75,55
92.35,0.125,0.15,0.25,0.05,5.75,0.2,0.575,0.1,250,180,90,180
91.5,0.05,0.075,0.075,0.05,7,0.15,0.9,0.075,300,250,56,180
92.2,0.1,7,0.1,0.05,0.05,0.1,0.35,0.075,160,83,56,61
88.2,0.3,9.5,0.65,0.175,0.25,0.075,0.5,0.125,320,170,75,120
82.9,3.75,11.25,0.65,0.25,0.5,0,0.05,0.25,330,170,56,140
85.95,0.5,12,0.65,0.175,0.25,0,0.05,0.125,240,130,80,130
92.4,0.05,0.1,0.1,0.175,0,0.125,7,0.075,250,120,56,95
93.7,0.075,5.25,0.4,0.175,0.175,0.125,0.05,0.075,150,50,43,55
88.35,4.5,5.5,0.5,0.25,0.5,0.125,0.05,0.25,190,110,70,89
89.75,0.5,7.5,0.6,0.25,0.5,0.1,0.55,0.1,210,110,56,79
89.6,0.1,8.5,0.75,0.05,0.075,0,0.3,0.075,300,160,56,120
84.1,2.5,10.5,0.065,0.25,1.5,0,0.25,0.25,280,150,75,150
77.05,4.5,17,0.65,0.05,0.05,0.1,0.55,0.1,280,240,120,105
85.6,0.5,12,1,0.175,0.25,0,0.05,0.125,270,140,80,130
92.85,0.175,1.8,0.3,0.4,0.175,0.125,4,0.075,130,83,50,58
95.05,0.075,0.175,0.25,0.175,0.075,0.125,4,0.075,180,74,50,48
90.3,0.125,0.175,0.9,0.175,0.075,0,8,0.125,310,190,80,140
92.55,0.025,0.075,0.075,0.175,0,0.125,6.85,0.075,270,140,70,70
92.05,0,0.1,0.4,0.5,4.25,0.125,2.1,0.075,270,200,56,140
90,0.7,0.125,0.55,0.3,0,0.125,0.35,0.125,240,170,74,63
92.2,0.05,0.075,0.075,0.05,6.5,0.15,0.7,0.075,260,220,56,160
84.9,3.5,8.5,0.65,0.25,1.5,0,0.05,0.25,290,160,80,140
77.45,4.5,17,0.25,0.05,0.05,0.1,0.55,0.1,220,210,110,70
76.15,4.5,17,0.65,0.25,0.75,0.05,0.55,0.1,320,250,56,170
92.55,0.05,0.075,0.075,0.025,0,0.175,7,0.075,260,130,56,62
92.55,0.3,5.25,1,0.175,0,0,0.05,0.125,230,100,65,120
